version,implementation,ns_per_op
v1,Ours,58.01
v1,Ours,71.39
v1,Ours,61.25
v1,Ours,58.07
v1,Ours,58.41
v1,Google,75.00
v1,Google,73.59
v1,Google,73.37
v1,Google,73.99
v1,Google,73.87
v1,Gofrs,74.58
v1,Gofrs,75.04
v1,Gofrs,74.83
v1,Gofrs,74.98
v1,Gofrs,75.87
v2,Ours,218.5
v2,Ours,220.6
v2,Ours,218.2
v2,Ours,218.5
v2,Ours,219.2
v2,Google,235.2
v2,Google,235.3
v2,Google,234.7
v2,Google,236.0
v2,Google,235.7
v3,Ours,232.1
v3,Ours,232.6
v3,Ours,226.8
v3,Ours,231.3
v3,Ours,230.7
v3,Google,237.3
v3,Google,238.5
v3,Google,237.5
v3,Google,240.0
v3,Google,242.3
v3,Gofrs,238.2
v3,Gofrs,238.3
v3,Gofrs,237.9
v3,Gofrs,237.9
v3,Gofrs,234.0
v4,Ours,66.81
v4,Ours,66.22
v4,Ours,70.90
v4,Ours,67.65
v4,Ours,66.47
v4,Google,569.6
v4,Google,568.3
v4,Google,553.3
v4,Google,560.5
v4,Google,554.3
v4,Gofrs,548.7
v4,Gofrs,550.7
v4,Gofrs,550.1
v4,Gofrs,547.0
v4,Gofrs,550.2
v5,Ours,188.9
v5,Ours,193.6
v5,Ours,189.1
v5,Ours,191.1
v5,Ours,196.5
v5,Google,304.5
v5,Google,302.7
v5,Google,299.0
v5,Google,298.5
v5,Google,296.6
v5,Gofrs,300.4
v5,Gofrs,294.1
v5,Gofrs,292.3
v5,Gofrs,296.2
v5,Gofrs,309.6
v6,Ours,64.64
v6,Ours,64.42
v6,Ours,73.11
v6,Ours,64.64
v6,Ours,64.52
v6,Google,72.55
v6,Google,72.89
v6,Google,72.56
v6,Google,75.98
v6,Google,74.49
v6,Gofrs,628.8
v6,Gofrs,614.7
v6,Gofrs,619.9
v6,Gofrs,637.1
v6,Gofrs,640.9
v7,Ours,650.5
v7,Ours,597.3
v7,Ours,577.9
v7,Ours,582.3
v7,Ours,590.8
v7,Google,633.5
v7,Google,642.3
v7,Google,639.7
v7,Google,633.6
v7,Google,662.8
v7,Gofrs,610.6
v7,Gofrs,609.6
v7,Gofrs,621.5
v7,Gofrs,610.1
v7,Gofrs,612.3
